image_id,level,taxon,species_count,major_clade,dominant_order,representative_genus,prompt_group,composition_archetype,key_traits,habitat,lighting,palette,mood,confidence,review_status,review_notes,draft_prompt
family-abelisauridae,family,Abelisauridae,34,Saurischia,,"Abelisaurus, Arcovenator, Aucasaurus",abelisaurid_predator,"giant-theropod card: head-and-torso dominant, powerful forward stride, strong front 3/4 view","deep short skull, horned or ornamented brow region, tiny forelimbs, muscular hind legs, compact predatory build",semi-arid rocky upland with sparse plants and simplified distant volcanic forms,warm late-afternoon light with clean shadow shapes,"dusty taupe, charcoal, ember orange, muted mauve sky, and dry earth brown","fierce, iconic, and controlled",high,draft_ready,,"Create a square illustrated dinosaur family card for Abelisauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using giant-theropod card: head-and-torso dominant, powerful forward stride, strong front 3/4 view. Emphasize the defining anatomy: deep short skull, horned or ornamented brow region, tiny forelimbs, muscular hind legs, compact predatory build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: semi-arid rocky upland with sparse plants and simplified distant volcanic forms. Lighting: warm late-afternoon light with clean shadow shapes. Color direction: dusty taupe, charcoal, ember orange, muted mauve sky, and dry earth brown. Mood: fierce, iconic, and controlled. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-alethoalaornithidae,family,Alethoalaornithidae,1,Saurischia,Cathayornithiformes,Alethoalaornis,early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,needs_light_review,Many of these lineages need a final anatomical check for wing and tail proportions. Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Alethoalaornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-alexornithidae,family,Alexornithidae,10,Saurischia,Alexornithiformes,"Zhyraornis, Abavornis, Alexornis",early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,draft_ready,Many of these lineages need a final anatomical check for wing and tail proportions.,"Create a square illustrated dinosaur family card for Alexornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-allosauridae,family,Allosauridae,8,Saurischia,,"Allosaurus, Saurophaganax",large_theropod_predator,"large-predator card: strong 3/4 stride, head and torso dominant, tail receding cleanly through the frame","large skull, serrated jaws, muscular neck, strong hind limbs, balanced tail, grasping forelimbs sized appropriately to the lineage",open floodplain or rocky woodland edge with simplified terrain and atmospheric distance,warm directional daylight with subtle haze,"charcoal, bark brown, sandstone, dusty olive, and warm amber highlights","powerful, noble, and dramatic without feeling monstrous",medium,draft_ready,,"Create a square illustrated dinosaur family card for Allosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using large-predator card: strong 3/4 stride, head and torso dominant, tail receding cleanly through the frame. Emphasize the defining anatomy: large skull, serrated jaws, muscular neck, strong hind limbs, balanced tail, grasping forelimbs sized appropriately to the lineage. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open floodplain or rocky woodland edge with simplified terrain and atmospheric distance. Lighting: warm directional daylight with subtle haze. Color direction: charcoal, bark brown, sandstone, dusty olive, and warm amber highlights. Mood: powerful, noble, and dramatic without feeling monstrous. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-alvarezsauridae,family,Alvarezsauridae,17,Saurischia,,"Achillesaurus, Albertonykus, Albinykus",alvarezsaur_runner,small runner card: full-body side or 3/4 pose with long legs and compact body dominating the frame,"light cursorial body, long hind limbs, short powerful forelimbs, narrow head, bird-like posture",dry scrub plain or open woodland floor with low plants and stones,clean daylight with firm shadow shapes,"sand tan, rust brown, charcoal, muted olive, and pale blue sky","nimble, unusual, and lively",medium,draft_ready,,"Create a square illustrated dinosaur family card for Alvarezsauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small runner card: full-body side or 3/4 pose with long legs and compact body dominating the frame. Emphasize the defining anatomy: light cursorial body, long hind limbs, short powerful forelimbs, narrow head, bird-like posture. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: dry scrub plain or open woodland floor with low plants and stones. Lighting: clean daylight with firm shadow shapes. Color direction: sand tan, rust brown, charcoal, muted olive, and pale blue sky. Mood: nimble, unusual, and lively. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-anchiornithidae,family,Anchiornithidae,1,Saurischia,,Ostromia,feathered_glider,"small feathered card: full-body perch or gliding-ready stance with wings, tail, and head profile clearly visible","feathered arms or wings, long feathered tail, light body, grasping feet, bird-like but still dinosaurian anatomy","tree trunks, branches, and fern-rich forest layers with clean sky openings",cool daylight with soft atmospheric depth,"warm gray, cream, russet, muted black, moss green, and pale teal sky","graceful, early-avian, and refined",medium,needs_light_review,Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Anchiornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small feathered card: full-body perch or gliding-ready stance with wings, tail, and head profile clearly visible. Emphasize the defining anatomy: feathered arms or wings, long feathered tail, light body, grasping feet, bird-like but still dinosaurian anatomy. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: tree trunks, branches, and fern-rich forest layers with clean sky openings. Lighting: cool daylight with soft atmospheric depth. Color direction: warm gray, cream, russet, muted black, moss green, and pale teal sky. Mood: graceful, early-avian, and refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-anchisauridae,family,Anchisauridae,3,Saurischia,,"Actiosaurus, Anchisaurus, Gyposaurus",basal_sauropodomorph,early-long-neck card: full-body side or 3/4 stance with lighter build and neck/tail balance clearly visible,"elongated neck, smaller head, long tail, lighter sauropodomorph body, strong hind limbs, early herbivorous build","Triassic or early Jurassic woodland edge with cycads, conifers, and open ground",clean daylight with slight warm haze,"dusty brown, olive, cream, bark gray, and pale green-blue sky","ancestral, steady, and elegant",medium,draft_ready,,"Create a square illustrated dinosaur family card for Anchisauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-long-neck card: full-body side or 3/4 stance with lighter build and neck/tail balance clearly visible. Emphasize the defining anatomy: elongated neck, smaller head, long tail, lighter sauropodomorph body, strong hind limbs, early herbivorous build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: Triassic or early Jurassic woodland edge with cycads, conifers, and open ground. Lighting: clean daylight with slight warm haze. Color direction: dusty brown, olive, cream, bark gray, and pale green-blue sky. Mood: ancestral, steady, and elegant. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-ankylosauridae,family,Ankylosauridae,35,Ornithischia,,"Tarchia, Anodontosaurus, Pinacosaurus",armored_ankylosaur,armored quadruped card: full-body low 3/4 stance with armor silhouette and tail weapon clearly visible,"low broad body, osteoderm armor, wide torso, heavy limbs, armored head, tail club where appropriate",open scrub woodland with low cycads and simple background spacing around the armor outline,bright daylight with crisp shadows,"olive, ochre, bark brown, horn-gray, and dusty green","solid, defensive, and iconic",high,draft_ready,,"Create a square illustrated dinosaur family card for Ankylosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using armored quadruped card: full-body low 3/4 stance with armor silhouette and tail weapon clearly visible. Emphasize the defining anatomy: low broad body, osteoderm armor, wide torso, heavy limbs, armored head, tail club where appropriate. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open scrub woodland with low cycads and simple background spacing around the armor outline. Lighting: bright daylight with crisp shadows. Color direction: olive, ochre, bark brown, horn-gray, and dusty green. Mood: solid, defensive, and iconic. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-archaeopterygidae,family,Archaeopterygidae,3,Saurischia,,Archaeopteryx,feathered_glider,"small feathered card: full-body perch or gliding-ready stance with wings, tail, and head profile clearly visible","feathered arms or wings, long feathered tail, light body, grasping feet, bird-like but still dinosaurian anatomy","tree trunks, branches, and fern-rich forest layers with clean sky openings",cool daylight with soft atmospheric depth,"warm gray, cream, russet, muted black, moss green, and pale teal sky","graceful, early-avian, and refined",medium,draft_ready,,"Create a square illustrated dinosaur family card for Archaeopterygidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small feathered card: full-body perch or gliding-ready stance with wings, tail, and head profile clearly visible. Emphasize the defining anatomy: feathered arms or wings, long feathered tail, light body, grasping feet, bird-like but still dinosaurian anatomy. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: tree trunks, branches, and fern-rich forest layers with clean sky openings. Lighting: cool daylight with soft atmospheric depth. Color direction: warm gray, cream, russet, muted black, moss green, and pale teal sky. Mood: graceful, early-avian, and refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-avimimidae,family,Avimimidae,2,Saurischia,,Avimimus,oviraptor_beaked,"beaked-maniraptoran card: full-body 3/4 pose with crest, beak, feathered arms, and tail fan readable","beaked skull, family-appropriate crest, feathered body or arms, grasping hands, agile bipedal build",desert edge or open floodplain with low shrubs and clear silhouette spacing,warm diffuse daylight,"dusty tan, cream, muted red-brown, charcoal, and soft sage green","ornate, intelligent, and distinctive",medium,needs_light_review,Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Avimimidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using beaked-maniraptoran card: full-body 3/4 pose with crest, beak, feathered arms, and tail fan readable. Emphasize the defining anatomy: beaked skull, family-appropriate crest, feathered body or arms, grasping hands, agile bipedal build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: desert edge or open floodplain with low shrubs and clear silhouette spacing. Lighting: warm diffuse daylight. Color direction: dusty tan, cream, muted red-brown, charcoal, and soft sage green. Mood: ornate, intelligent, and distinctive. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
